	logFC	AveExpr	t	P.Value	adj.P.Val	B
206757_at	-0.583607499999999	4.22177125	-5.17288314571234	0.000537268443821819	0.999986929681082	-3.15066678543384
235171_at	-1.6111375	4.84753875	-5.02123995284599	0.000662123775692532	0.999986929681082	-3.18139892294491
217161_x_at	-1.2054875	8.30658125	-4.99114601183326	0.000690429288219249	0.999986929681082	-3.18769025453623
238623_at	0.857782499999999	9.84818375	4.98856127812463	0.000692920346411536	0.999986929681082	-3.18823364561343
204338_s_at	-1.1077	8.552925	-4.95430027282485	0.000726867700404247	0.999986929681082	-3.19548208987179
239015_at	0.479775000000002	6.15383	4.90321997421608	0.000780839224764442	0.999986929681082	-3.20644837693968
223618_at	-0.6655275	9.87878375	-4.90298212352618	0.000781100378949431	0.999986929681082	-3.20649989125935
223315_at	-2.0261825	9.35476625	-4.84782095696687	0.000844273704276238	0.999986929681082	-3.2185610559738
227453_at	-0.430062499999999	6.58244375	-4.84295902161664	0.000850099021345299	0.999986929681082	-3.21963511417538
225544_at	0.677032499999999	10.07235875	4.84216344158733	0.000851056340709062	0.999986929681082	-3.21981103757831
218468_s_at	-0.680674999999999	13.0554125	-4.79899451188647	0.000904774959152332	0.999986929681082	-3.22942908885321
206805_at	-0.787469999999999	7.02421	-4.73076259495405	0.000997230002266436	0.999986929681082	-3.24492423122291
227961_at	-0.696175	11.2718875	-4.72987879050343	0.000998491987118979	0.999986929681082	-3.24512732276918
229125_at	0.918799999999999	6.75851	4.72070713764573	0.00101168961688241	0.999986929681082	-3.24723852818568
230538_at	0.655994999999999	5.07096	4.7179220369676	0.00101573413821819	0.999986929681082	-3.24788093750328
243813_at	-1.045585	7.8300775	-4.70711146784734	0.00103159801378957	0.999986929681082	-3.25038030146894
